"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
51027,27,"Mississippi","NEELY",42173.3,0,16,0,2261,274,41,0,0,410,6124,1493,3755,1846,654,266,1548,6,18694,0.2
51028,27,"Mississippi","WAYNESBORO",39102.1,0,86,0,2185,122,0,0,0,647,3996,3497,1830,481,3210,244,1043,41,17382,0.2
51029,27,"Mississippi","FONTAINBLEAU",44567.5,0,22,0,3309,1874,742,196,221,0,5046,65,4967,420,404,39,2426,70,19801,0.2
51030,27,"Mississippi","BENNDALE",41587.9,0,224,0,2553,59,7,0,0,6,5948,594,3481,1058,580,0,3871,114,18495,0.2
51031,27,"Mississippi","LEAF RIVER",40490.1,0,70,0,1859,213,34,0,0,413,4307,1661,2089,1221,3371,128,2599,14,17979,0.2
51032,27,"Mississippi","TRACE CENTRAL",40394.8,0,81,0,4678,26,0,0,0,1960,3302,2724,503,71,1425,48,3184,99,18101,0.2
51033,27,"Mississippi","MONTICELLO",39457.2,0,66,0,1943,398,58,0,2,1684,4524,2223,2917,563,1817,268,1074,0,17537,0.2
51034,26,"Mississippi","WINTERVILLE",40348.4,0,107,0,1763,48,0,0,0,19,0,5,0,4,622,12185,3093,72,17918,0.2
51035,27,"Mississippi","TRACE SOUTH",39428.1,0,25,0,5359,122,5,0,0,7160,310,1026,1432,21,1164,191,856,0,17671,0.2
51036,26,"Mississippi","EAGLE LAKE",45151.7,0,591,0,4058,18,0,0,0,15,0,0,71,9,4,6206,8995,165,20132,0.2
51037,27,"Mississippi","DE SOTO",39774,0,54,0,1538,60,0,0,87,24,10074,614,2201,383,228,155,2168,122,17708,0.2
51038,27,"Mississippi","WEIR",41014.5,0,34,0,2299,115,47,0,0,3361,2796,1925,2572,299,2564,839,1287,52,18190,0.2
51039,27,"Mississippi","WATER VALLEY",43396.8,0,278,0,2115,833,0,0,0,3438,1052,486,3870,41,3635,2505,895,131,19279,0.2
51040,26,"Mississippi","SHELBY",39284.2,0,187,0,2410,65,5,0,0,15,0,61,0,0,0,14101,560,115,17519,0.2
51041,27,"Mississippi","HOLLY SPRINGS",39020,0,65,0,1464,447,0,0,0,4889,3116,2198,2313,98,1805,442,525,26,17388,0.2
51042,27,"Mississippi","TRACE NORTH",38957.7,0,135,0,3393,685,10,0,0,4130,2983,2503,1032,267,1060,135,996,58,17387,0.2
51043,27,"Mississippi","AMITE RIVER",39735.9,0,82,0,1771,585,2,0,0,650,4625,166,3934,893,2714,885,1420,31,17758,0.2
51101,27,"Mississippi","FORT ADAMS",40705,0,40,0,1816,71,5,0,6,5982,870,1130,3279,691,980,636,2586,47,18139,0.2
51104,26,"Mississippi","MOON",43859.7,0,356,0,2956,336,14,7,0,33,0,108,0,0,0,14749,1031,9,19599,0.2
51111,27,"Mississippi","OLIVE BRANCH 2",39604.7,0,103,0,1541,677,10,6,56,1879,689,330,2976,30,6147,2539,579,38,17600,0.2
