"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
72911,28,"Pennsylvania","SPROUL SF-B",40584.1,0,402,0,4309,8,0,0,0,73426,4871,5736,45,8,150,0,51,66,89072,1
77001,30,"Rhode Island","QUONSET PT",37909.2,0,851,0,6174,3766,2829,504,79,45240,7230,3218,561,1125,1768,88,10826,896,85155,1
77002,30,"Rhode Island","SACHUEST PT",40448.2,0,16147,0,10986,17373,19088,3460,499,6539,316,317,85,647,6434,2701,3375,3475,91442,1
77003,30,"Rhode Island","SHANNOCK",37003.4,0,1237,0,3823,1745,733,61,14,41396,4365,1372,311,240,5783,290,16346,285,78001,1
77004,30,"Rhode Island","WALLUM LAKE",38492.2,0,504,0,5053,6623,9603,3670,47,43142,1800,1173,1520,298,4237,504,4390,512,83076,1
77102,30,"Rhode Island","PULASKI",41443.6,0,4079,0,3944,939,150,0,22,57224,4074,3352,510,112,1003,528,8617,873,85427,1
77202,30,"Rhode Island","CASIMIR PULASKI SF",38825.7,0,3392,0,3733,915,139,0,22,53123,4378,3362,615,101,1170,335,9378,585,81248,1
77800,30,"Rhode Island","BLOCK ISLAND",24673.1,0,17380,0,8255,531,0,367,2535,5030,559,4534,0,21,0,0,4326,411,43949,1
80001,27,"South Carolina","JOHNS ISLE",50879.4,0,5492,0,5103,1727,399,37,522,305,25672,2139,11944,1442,10082,2191,14934,15067,97056,1
80002,27,"South Carolina","JAMESTOWN",39440.6,0,81,0,1522,165,100,24,8,108,40101,668,5327,224,844,138,36349,2648,88307,1
80003,27,"South Carolina","HARDEEVILLE",41202.8,0,1372,0,4484,625,142,124,178,2382,30125,5679,12558,2858,1216,682,27219,3989,93633,1
80004,27,"South Carolina","ROME",42495.6,0,1204,0,6081,1410,876,236,35,403,16267,757,10635,2944,7844,20183,25256,1187,95318,1
80005,27,"South Carolina","HOLLY HILL",41881,0,135,0,6737,1770,143,34,0,1440,16065,1123,7048,800,13218,19637,26090,533,94773,1
80006,27,"South Carolina","COWARD",44980.7,0,199,0,3709,757,139,17,0,146,29370,1049,13540,1286,1878,22726,22559,304,97679,1
80007,27,"South Carolina","FORESTON",42130.5,0,196,0,6538,1738,112,23,0,886,15973,1109,8972,2477,12568,20022,24270,594,95478,1
80008,27,"South Carolina","NEW HOLLAND",41000.8,0,714,0,3439,689,19,0,72,3995,18952,3227,20776,5582,8091,14249,8476,694,88975,1
80009,27,"South Carolina","WAGENER",42155.7,0,495,0,4901,1891,291,72,52,3230,27857,3012,14052,3302,6789,13535,16396,788,96663,1
80010,27,"South Carolina","DILLON",41791.1,0,536,0,5101,1045,130,0,33,269,9884,419,7563,593,146,43398,25363,751,95231,1
80011,27,"South Carolina","BISHOPVILLE",39557.8,0,184,0,7241,4406,1126,195,35,5915,13486,3118,2356,13215,5487,23075,9902,161,89902,1
80012,27,"South Carolina","BOYKIN ML PD",48452.9,0,2145,0,11073,4194,1424,423,780,22388,36124,2215,1877,8785,3739,4993,10854,120,111134,1
80013,27,"South Carolina","WALTERBORO",40802.5,0,119,0,3871,321,15,0,22,2983,19891,2450,18222,2914,6253,3256,29247,984,90548,1
80014,29,"South Carolina","LITTLE MTN",41588.3,0,1179,0,20215,15139,5878,1835,485,20705,19093,424,253,3865,5672,75,512,82,95412,1
80015,29,"South Carolina","SALEM XRD",39343.6,0,166,0,2713,312,31,0,1397,23652,40951,407,811,8614,8365,0,1398,0,88817,1
80016,29,"South Carolina","PENDLETON",41081.5,0,389,0,13262,9662,3877,1657,574,22788,6050,217,534,7924,25555,58,835,0,93382,1
80017,29,"South Carolina","OWINGS",39213.5,0,237,0,3991,624,110,21,511,32289,11108,830,1298,7674,24830,162,1861,0,85546,1
80018,29,"South Carolina","BARTON CREEK",40902.1,0,5639,0,4102,595,17,27,487,40864,10867,803,561,11741,8959,103,1421,0,86186,1
80019,29,"South Carolina","BOILING SPGS",39651.9,0,953,0,7777,1780,161,117,276,22517,10604,716,963,6591,32629,270,992,0,86346,1
80020,28,"South Carolina","LANDRUM",38983.6,0,557,0,8539,1735,318,103,483,37855,8230,580,711,9246,17814,282,1221,0,87674,1
80021,29,"South Carolina","PLUM BRANCH",41032.1,0,2074,0,9045,652,73,0,340,14671,47652,762,3505,7079,5457,0,859,0,92169,1
80022,27,"South Carolina","NIXONVILLE",39050.8,0,581,0,4282,1282,305,0,33,46,12907,470,9030,2499,71,20393,32720,1624,86243,1
80023,27,"South Carolina","NEW ELLENTON",46068,0,503,0,4294,1837,553,218,1587,2082,29476,2249,15505,4279,14221,9690,15340,828,102662,1
80024,27,"South Carolina","WARD",43275.6,0,1570,0,3516,741,264,34,495,13755,17971,1839,526,18424,8466,17353,5084,267,90305,1
80025,29,"South Carolina","CAMPOBELLO",47063.6,0,367,0,7907,1564,390,188,482,32292,11768,402,1082,9098,28108,1,2295,0,95944,1
80026,29,"South Carolina","WHITMIRE",45479.3,0,163,0,4628,245,39,0,49,19226,68441,851,243,1802,2330,0,2024,0,100041,1
80027,27,"South Carolina","GREEN SEA",43593,0,332,0,3063,1129,20,0,0,6,15948,354,8127,1433,61,28574,32250,444,91741,1
80028,27,"South Carolina","KINGSTREE",43560.1,0,82,0,3666,105,0,0,0,386,16089,603,9349,2604,6397,21083,33123,907,94394,1
80029,29,"South Carolina","LOWRYS",43256.8,0,146,0,3465,433,4,0,249,39095,20775,1975,1408,4932,18389,355,1344,0,92570,1
80030,29,"South Carolina","RIDGEWAY",43845.1,0,7887,0,2896,254,23,6,984,25705,41430,737,620,5515,3575,36,1261,18,90947,1
80031,29,"South Carolina","SALEM",49977.7,0,1069,0,6506,1562,139,57,602,42066,16638,2201,2363,11880,16547,0,190,6,101826,1
80050,29,"South Carolina","BLACKSBURG",41166.5,0,1412,0,4333,606,28,0,228,51179,11482,2338,1249,3670,12735,89,414,5,89768,1
80051,29,"South Carolina","GREENWOOD",40303.1,0,366,0,4337,72,0,0,287,24326,37636,921,2961,7721,8587,0,1821,5,89040,1
80052,29,"South Carolina","JOANNA",39498.1,0,321,0,5459,1143,110,74,606,16040,36417,428,632,5151,18952,1055,2089,0,88477,1
80053,27,"South Carolina","MOUNT PISGAH",57653.2,0,254,0,4297,1162,54,0,82,13582,39986,9633,1583,27998,5217,10096,15045,290,129279,1
80054,27,"South Carolina","BENNETTSVILLE",43228.6,0,2528,0,3690,1243,339,119,3326,2827,23311,888,10203,4667,2206,12647,28361,1493,97848,1
80055,27,"South Carolina","OLAR",40140.1,0,213,0,2740,1275,45,6,94,2052,26409,1346,13848,3782,3868,11587,21175,927,89367,1
80056,27,"South Carolina","PINEWOOD",38826.3,0,37,0,3962,516,58,0,0,484,18480,943,7717,957,14795,17081,21863,769,87662,1
80057,27,"South Carolina","CARVERS BAY",52026.5,0,1253,0,2611,530,89,20,165,41,49464,366,21737,9569,3018,2479,22914,1707,115963,1
80058,27,"South Carolina","NIXVILLE",41932.3,0,72,0,3067,1495,94,20,66,607,27789,137,12450,6185,3596,20203,18267,806,94854,1
80059,27,"South Carolina","DALE",39811,0,1569,0,3873,830,179,5,25,2538,19912,909,10709,2423,3987,3592,34682,5439,90672,1
80101,27,"South Carolina","ADAMS RUN",42097.6,0,731,0,1615,255,6,0,105,1150,30324,1784,15528,4099,1809,1058,35485,1211,95160,1
80112,29,"South Carolina","CAUTHENS XRD",39093.2,0,236,0,2478,75,5,0,1367,26374,44358,874,623,5045,3010,169,2081,0,86695,1
80114,29,"South Carolina","PROSPERITY",36127.8,0,5073,0,4699,476,62,0,586,20807,26852,975,527,5557,11069,37,497,0,77217,1
80116,29,"South Carolina","ANDERSON",39220.2,0,702,0,10314,5849,2149,915,619,23084,6686,207,352,8165,28091,29,1379,0,88541,1
80117,29,"South Carolina","OWINGS 2",40796.9,0,579,0,4470,573,94,13,420,34007,12780,958,1581,7210,23431,190,2347,0,88653,1
80119,29,"South Carolina","CHESNEE",41849.1,0,654,0,6452,1416,206,43,247,24909,9701,600,1358,7175,35445,337,1239,0,89782,1
80120,28,"South Carolina","OSBORN MTN.",36971.3,0,441,0,4365,224,83,0,29,61301,2652,4163,270,828,3401,67,14,0,77838,1
80122,27,"South Carolina","RED BLUFF",40531.9,0,490,0,3678,1135,269,15,15,5,12225,381,9396,2191,70,26059,32512,1591,90032,1
80220,28,"South Carolina","BATTLECREEK",38249.2,0,213,0,3542,41,15,0,12,44721,14266,7119,790,3005,7978,178,293,0,82173,1
80900,27,"South Carolina","SANDHILLS",37711.1,0,404,0,1575,340,0,0,0,8065,36274,5295,1603,16567,1479,1881,6867,180,80530,1
80901,27,"South Carolina","KIAWAH ISLAND",39846.5,0,11625,0,5155,2056,127,0,3646,11,7616,17,2393,323,301,0,1493,15725,50488,1
81001,11,"South Dakota","LENNOX",40608.7,0,220,0,5009,1038,275,123,100,423,0,0,18,1787,13935,66703,0,1304,90935,1
81002,11,"South Dakota","TRIPP",40167.9,0,388,0,3688,161,0,0,29,298,0,0,0,4817,22770,58453,21,1001,91626,1
81003,11,"South Dakota","HOWARD",40230.2,0,1460,0,3420,141,76,0,6,414,0,0,15,8894,12708,62803,0,1159,91096,1
81004,11,"South Dakota","WHITE LAKE",39966.6,0,160,0,3075,126,10,0,0,164,0,0,0,927,72147,14107,0,687,91403,1
81005,11,"South Dakota","GEDDES",40222.1,0,762,0,2935,0,0,0,0,1260,612,0,550,26219,29509,27610,19,646,90122,1
81006,17,"South Dakota","CHAMBERLAIN",39815.7,0,2554,0,3215,343,5,0,180,1866,1358,0,36,33146,22226,21930,126,2073,89058,1
81007,17,"South Dakota","WINNER",38740.4,0,182,0,2557,181,0,0,29,63,5,0,52,67652,309,13774,835,2281,87920,1
81008,17,"South Dakota","ROSEBUD",40876.9,0,75,0,2364,1014,82,0,0,1440,0,1033,125,65005,4872,12649,1018,2445,92122,1
81009,17,"South Dakota","ROCKYFORD",41266.3,0,397,0,3070,901,36,8,8327,390,137,0,0,76801,986,959,2148,446,94606,1
81010,11,"South Dakota","VOLGA",41377.5,0,3210,0,3648,118,103,0,0,578,0,0,210,7537,12687,62771,58,3520,94440,1
81011,11,"South Dakota","RAYMOND",40316.4,0,1642,0,3435,72,46,0,39,279,0,0,32,14988,27070,41543,18,2123,91287,1
81012,11,"South Dakota","ROSWELL",39610.9,0,2633,0,3183,45,16,0,0,233,0,0,72,10680,26105,45145,0,2044,90156,1
81013,11,"South Dakota","BROADLAND",39318.6,0,332,0,3280,351,122,49,37,310,0,0,0,2494,43967,34510,48,3937,89437,1
81014,11,"South Dakota","LANE",39035.4,0,298,0,3225,427,266,45,0,481,0,0,0,17833,42981,22528,0,187,88271,1
81015,11,"South Dakota","CROW CREEK",40424,0,1043,0,2381,19,5,0,7,37,0,0,0,70270,338,17664,0,896,92660,1
81016,17,"South Dakota","FT THOMPSON",41180.9,0,6487,0,2932,979,200,15,338,209,46,0,0,67059,5389,7756,162,980,92552,1
81017,11,"South Dakota","WILMOT",41367.6,0,2298,0,3620,230,37,0,268,694,0,0,10,2182,23364,52872,112,8384,94071,1
81018,11,"South Dakota","VEBLEN",40372.2,0,1503,0,3137,179,67,8,102,1375,39,0,7,3955,21502,51624,6,8796,92300,1
81019,11,"South Dakota","BRITTON",42166.9,0,8499,0,3054,59,25,0,20,797,1,0,26,36454,6029,39903,0,764,95631,1
81020,11,"South Dakota","FORBES",39312.6,0,686,0,3463,122,23,0,0,674,0,0,141,5894,52871,23524,39,3670,91107,1
81021,11,"South Dakota","CONDE",40394.1,0,195,0,3164,66,6,0,143,31,0,0,0,3828,33853,48382,0,1272,90940,1
81022,11,"South Dakota","GETTYSBURG",43424.9,0,1198,0,3828,203,45,0,0,0,0,0,50,46545,832,44929,0,637,98267,1
81023,11,"South Dakota","LONG LAKE",40410.5,0,8177,0,2686,309,32,0,0,157,5,0,1588,56803,13563,7912,0,585,91817,1
81024,17,"South Dakota","LAPLANT",41137.8,0,386,0,5535,1252,0,0,136,293,11,13,101,65240,3884,16113,1233,518,94715,1
81025,17,"South Dakota","PROMISE",44703.5,0,2524,0,0,0,0,0,120,90,17,11,32,86859,0,0,10311,1527,101491,1
81026,17,"South Dakota","OWANKA",39939.5,0,311,0,4321,1466,176,18,112,182,10,5,477,68681,104,11634,2543,779,90819,1
81027,17,"South Dakota","ROUBAIX LK",37971.7,0,0,0,3784,1605,132,6,39,297,70728,0,2789,6161,15,0,71,189,85816,1
81028,17,"South Dakota","VOLUNTEER",41255.1,0,965,0,2985,899,18,0,389,247,5,7,339,48014,12169,21566,6021,89,93713,1
81029,17,"South Dakota","CUSTER",37998,0,88,0,3036,1409,1105,147,45,88,54732,0,7507,12871,1275,0,7,150,82460,1
81030,17,"South Dakota","OTTUMWA",41888,0,527,0,2090,176,0,0,11,6,0,0,11,68215,0,21531,392,1567,94526,1
81031,17,"South Dakota","HARDING",41553.6,0,466,0,2412,573,0,0,10,13,88,0,6452,80736,167,2854,509,524,94804,1
81032,17,"South Dakota","CEDAR PASS",37671.6,0,261,0,2116,1120,136,15,11038,278,5,0,167,62232,0,6101,880,217,84566,1
81033,17,"South Dakota","FORT PIERRE",40850.9,0,1019,0,2706,123,0,0,136,169,121,0,0,80098,0,8910,65,348,93695,1
81034,11,"South Dakota","GORMAN",40585.3,0,79,0,3091,205,11,0,18,0,0,0,5,23841,2038,62315,0,187,91790,1
81035,17,"South Dakota","MAURINE",38015.9,0,478,0,0,0,0,0,134,5,0,0,562,82629,284,743,942,71,85848,1
81036,17,"South Dakota","REVA",41234.9,0,94,0,2687,489,6,0,338,385,1659,6,4646,72922,4817,5806,1139,319,95313,1
81037,17,"South Dakota","LODGEPOLE",39112,0,110,0,2158,664,0,0,7,17,0,0,171,41127,20137,24322,220,15,88948,1
81038,17,"South Dakota","EAGLE BUTTE",40916,0,1358,0,2212,731,84,0,138,269,10,28,173,72850,2857,9529,786,836,91861,1
81039,17,"South Dakota","ISABEL",43185.1,0,815,0,2532,109,0,0,18,380,28,0,22,79590,2579,9268,1002,548,96891,1
81040,17,"South Dakota","MARCUS",39850.1,0,434,0,2461,483,0,0,74,85,6,7,154,56031,10087,15214,3688,1562,90286,1
81041,17,"South Dakota","HAYES",41244.1,0,643,0,3533,277,0,0,7,95,0,0,78,53935,0,34138,507,583,93796,1
81042,17,"South Dakota","ARDMORE",40122.4,0,336,0,1264,615,0,0,15,67,50,0,6864,75131,0,4889,670,872,90773,1
81043,17,"South Dakota","BADLANDS",40084.1,0,354,0,466,604,86,0,19768,59,21,437,11,63763,0,3686,155,129,89539,1
81044,17,"South Dakota","LACREEK",42656.6,0,726,0,2828,697,8,0,40,140,16,0,0,56119,2477,24902,1563,7489,97005,1
81045,17,"South Dakota","WHITE RIVER",39271.4,0,994,0,2170,822,213,41,339,577,39,5,0,74470,0,7484,1467,62,88683,1
81046,17,"South Dakota","PLEASANT VAL",39249.6,0,0,0,0,0,0,0,79,33,30694,0,17175,35058,0,0,44,81,83164,1
81047,17,"South Dakota","HILL CITY",40410.3,0,22,0,869,679,238,0,29,236,71082,0,2047,7277,15,0,14,33,82541,1
81048,17,"South Dakota","BLACK FOX",35203.6,0,0,0,450,39,0,0,11,175,66620,399,859,5205,1,0,6,25,73790,1
81049,17,"South Dakota","ENGLEWOOD",39215.2,0,9,0,156,68,0,0,20,905,71214,97,2656,6419,145,0,11,117,81817,1
81050,17,"South Dakota","LONG DRAW",50869.7,0,94,0,1077,132,0,0,24,3861,94656,767,1448,3764,46,0,5,10,105884,1
81114,11,"South Dakota","LANE II",42473.5,0,112,0,3470,436,266,45,0,559,0,0,0,17521,45405,26438,0,156,94408,1
81121,11,"South Dakota","TURTON",40397.2,0,312,0,4026,137,46,0,55,71,0,0,5,4289,28191,51077,1,2350,90560,1
81127,17,"South Dakota","SILVER CITY",46039.5,0,0,0,1556,409,0,0,30,246,84064,0,3473,4173,15,64,159,182,94371,1
81702,17,"South Dakota","NORBECK",44866,0,188,0,3023,558,264,51,10,144,70926,0,3626,5290,505,0,14,26,84625,1
81703,17,"South Dakota","ELK MOUNTAIN",30007,0,0,0,0,0,0,0,17,92,37178,0,16061,10171,0,0,0,11,63530,1
81704,17,"South Dakota","ROCHFORD",38907.3,0,0,0,0,0,0,0,0,189,68738,0,5534,6745,0,0,101,26,81333,1
81705,17,"South Dakota","HAZELRODT",40587,0,0,0,459,435,0,0,5,26,56973,0,12854,12683,748,0,17,181,84381,1
81706,17,"South Dakota","LIGHTNING CR",41183.2,0,0,0,903,272,19,0,0,0,56954,0,8802,18604,14,0,0,0,85568,1
81900,17,"South Dakota","PIONEER",46218.9,0,231,0,19,0,0,0,0,0,0,0,3572,97368,0,1050,49,92,102381,1
81901,17,"South Dakota","COTTONWOOD",40880.2,0,167,0,237,164,0,0,34,8,33,0,11350,76815,58,172,596,200,89834,1
81902,17,"South Dakota","NORBECK",46800.3,0,188,0,2800,592,244,47,10,141,80249,0,1941,2643,505,0,13,19,89392,1
81903,17,"South Dakota","ELK MOUNTAIN",30099.4,0,0,0,0,0,0,0,17,91,37815,0,15993,10163,0,0,0,11,64090,1
81904,17,"South Dakota","ROCHFORD",40926.4,0,0,0,0,0,0,0,0,189,68920,0,7364,10553,0,0,113,28,87167,1
81905,17,"South Dakota","HAZELRODT",46880.3,0,0,0,581,494,37,0,5,19,65199,13,13323,13945,1016,0,22,173,94827,1
81906,17,"South Dakota","LIGHTNING CR",45437.1,0,0,0,512,299,13,0,46,0,61130,0,9533,20017,14,0,0,0,91564,1
81907,17,"South Dakota","S. PIONEER",51027.6,0,803,0,455,12,0,0,353,11,0,0,4487,102295,0,1429,87,117,110049,1
81908,17,"South Dakota","INDIAN",39321.9,0,167,0,69,62,0,0,40,79,27,0,14014,74150,0,0,321,597,89526,1
81909,17,"South Dakota","RAILROAD BUT",56431.1,0,557,0,1119,55,0,0,981,610,3,52,794,111125,0,8537,779,214,124826,1
81910,17,"South Dakota","FRENCH CREEK",51484.5,0,413,0,548,28,0,0,5124,260,13,40,175,103165,78,634,651,774,111903,1
81911,17,"South Dakota","WIND CAVE NP",43192.7,0,0,0,1866,313,5,0,0,0,21795,0,17120,43422,0,0,0,194,84715,1
82001,26,"Tennessee","TIPTONVILLE",39579.2,0,13298,0,5122,451,160,51,121,20623,37,0,255,507,9343,31293,5639,75,86975,1
82002,26,"Tennessee","PAWPAW",36952.4,0,1836,0,4352,162,8,0,0,6783,11,0,14,197,269,61368,2800,136,77936,1
82003,27,"Tennessee","MOSCOW",36008.7,0,366,0,4803,2820,631,204,0,14842,1566,1902,12935,194,18628,18828,3662,143,81524,1
82004,27,"Tennessee","BROWNSVILLE",39352.5,0,326,0,5758,1690,336,38,0,11526,25,131,3588,5,3095,56154,3164,139,85975,1
82005,27,"Tennessee","TIBBS",40431.8,0,295,0,3619,1786,343,0,6,4456,7,83,2340,13,3375,69489,2942,72,88826,1
82006,27,"Tennessee","WHITEVILLE",36623,0,389,0,2434,664,31,12,16,26693,1625,3951,12168,316,17310,11750,4491,145,81995,1
82007,27,"Tennessee","BIG SANDY",39435.3,0,3591,0,4475,92,135,36,28,50023,4977,7,417,3996,9345,9016,2404,33,88575,1
82008,27,"Tennessee","MANSFIELD",39519.5,0,157,0,3572,131,28,12,28,38524,3196,0,598,1709,9084,27744,3387,6,88176,1
82009,27,"Tennessee","SWEETLIPS",39788.9,0,107,0,3507,62,32,0,14,35254,6250,4938,10337,190,12523,9722,2610,169,85715,1
82010,27,"Tennessee","SILERTON",39780.1,0,877,0,3742,324,117,35,0,35280,2249,4890,11696,799,13228,8174,7287,45,88743,1
82011,27,"Tennessee","TRENTON",38674,0,600,0,4972,175,11,8,0,18358,1095,0,158,225,7958,44420,6082,291,84353,1
82012,27,"Tennessee","HUMBOLDT",45692.1,0,395,0,10887,3091,1024,690,0,8996,898,0,124,14,3397,51493,6073,145,87227,1
82013,24,"Tennessee","POND CREEK",37711.4,0,137,0,1148,615,265,191,40,55261,6724,3291,0,4704,5290,900,0,126,78692,1
82014,24,"Tennessee","INDIAN MOUND",39515.6,0,127,0,4403,481,74,13,71,57706,920,5,13,6160,13413,1740,290,24,85440,1
82015,24,"Tennessee","COLLINWOOD",39153.4,0,169,0,4142,307,73,5,11,40926,1537,2954,5027,3945,25094,3053,708,7,87958,1
82016,24,"Tennessee","WRIGLEY",39452.4,0,54,0,3134,95,0,0,0,58850,3131,405,0,5975,14748,156,0,0,86548,1
82017,24,"Tennessee","CMPBELSVILE",38322,0,41,0,3730,24,0,0,42,39327,2710,3039,2648,1350,29656,1804,156,0,84527,1
82018,24,"Tennessee","LEWIS FOREST",39218.8,0,651,0,4059,50,0,0,22,50090,2258,845,2540,3987,15206,2076,1685,0,83469,1
82019,24,"Tennessee","BELOTES BEND",37888.8,0,3547,0,4566,147,30,0,37,36176,1578,1040,63,3076,29020,4121,281,195,83877,1
82020,24,"Tennessee","WHITE HOUSE",41817.9,0,63,0,5518,298,32,35,66,39800,3498,1212,22,2459,30939,3952,57,5,87956,1
82021,24,"Tennessee","PETERSBURG",38836.3,0,24,0,4473,364,62,0,0,36160,1078,2393,1327,933,33449,850,6,0,81119,1
82022,24,"Tennessee","PEYTONSVILLE",40900.9,0,156,0,4476,532,108,71,95,23630,4144,7894,2646,1488,38657,2322,110,7,86336,1
82023,24,"Tennessee","BRADYVILLE",38685.3,0,19,0,4351,596,12,7,0,28885,2385,1741,1426,761,41096,2298,84,0,83661,1
82024,24,"Tennessee","TULLAHOMA",40421.2,0,5675,0,5563,2382,488,236,114,27103,517,1692,1725,774,26788,14854,1980,215,90106,1
82025,24,"Tennessee","SILVER PT",38856.6,0,4260,0,4823,1263,541,106,90,39331,5743,3067,1130,502,17576,3265,524,23,82244,1
82026,24,"Tennessee","UNION HILL",35666.7,0,11,0,3302,77,90,74,5,42950,441,192,350,2635,24545,4308,0,0,78980,1
82027,24,"Tennessee","GLEN",37030.9,0,157,0,4324,831,100,0,71,15054,502,1237,1282,1618,30153,27629,1476,0,84434,1
82028,28,"Tennessee","RED BANK",41831.3,0,10726,0,16837,11281,5986,5025,42,34871,2126,4196,912,1423,653,85,1115,32,95310,1
82029,28,"Tennessee","JASPER",36357.1,0,700,0,7010,1936,455,61,281,39166,6352,8631,3281,3981,10441,764,284,17,83360,1
82030,28,"Tennessee","SODDY",36789.2,0,6396,0,14827,12097,4057,2352,248,19008,3402,7700,1831,1536,6292,433,818,44,81041,1
82031,28,"Tennessee","ELK VALLEY",39394.6,0,536,0,5322,1232,622,30,462,56499,139,2548,368,3922,3499,0,305,0,75484,1
82032,28,"Tennessee","SMOKEY JCT",39244.1,0,262,0,6109,942,320,10,370,55088,480,6617,659,8239,5732,0,212,0,85040,1
82033,28,"Tennessee","LOVELL",38385.8,0,147,0,22217,19419,7686,2007,45,10334,2534,2404,0,1718,9932,71,1130,0,79644,1
82034,28,"Tennessee","OLIVER SPGS",37127.7,0,259,0,9356,4042,1290,221,365,32280,2581,12049,115,8321,10411,21,921,0,82232,1
82035,28,"Tennessee","MCFARLAND",38544.8,0,5311,0,3382,119,0,0,47,44081,12069,7688,684,861,960,1,66,14,75283,1
82036,28,"Tennessee","CLIMER",40387.3,0,208,0,8020,6999,2220,1566,89,26324,6611,7962,2806,3960,21498,2198,180,0,90641,1
82037,28,"Tennessee","CORRYTON RD",42254.1,0,996,0,14792,6338,2933,1177,54,21151,4778,3949,353,3999,26958,739,1033,0,89250,1
82038,28,"Tennessee","JEFFERSN CTY",38635.1,0,11691,0,3832,3901,875,97,3331,18528,2775,3271,11,14716,19065,30,38,0,82161,1
82039,28,"Tennessee","WALLAND",38982.6,0,6,0,9798,3310,2053,771,47,40349,9667,8925,675,1486,7661,52,142,0,84942,1
82040,28,"Tennessee","MT OLIVE",38979.4,0,292,0,5609,1527,147,0,98,28885,2641,2460,815,735,33958,1477,250,0,78894,1
82041,28,"Tennessee","ALLENS BRDGE",40311.6,0,220,0,3979,1007,164,61,102,18820,1771,987,190,1423,55690,2300,633,0,87347,1
82042,28,"Tennessee","FISH SPRINGS",38397.7,0,1919,0,3623,584,95,0,73,58543,2968,1922,922,905,6397,22,26,0,77999,1
82114,24,"Tennessee","INDIAN MOUND 2",39779.9,0,122,0,3261,47,9,0,14,62469,800,0,13,7381,10586,1278,340,24,86344,1
82128,28,"Tennessee","SIGNAL MTN",39783.3,0,14367,0,2702,332,59,10,534,61364,1573,4301,663,866,1282,71,736,71,88931,1
82130,28,"Tennessee","JONES GAP",39187,0,253,0,2648,527,421,15,375,42040,8131,6208,4837,5537,13309,2695,265,7,87268,1
82135,28,"Tennessee","HARBUCK",46769.3,0,120,0,2360,18,0,0,19,54660,15100,8017,567,732,495,0,39,0,82127,1
82139,28,"Tennessee","CORNPONE",39627.8,0,6,0,4615,325,13,0,86,44852,10766,8233,813,2147,13488,108,129,0,85581,1
82900,28,"Tennessee","WILLIS SPRNG",48049.3,0,171,0,1499,0,0,0,0,55615,19216,7466,315,142,286,0,71,0,84781,1
82901,28,"Tennessee","MECCA",63953.4,0,21,0,4822,12,0,0,8,81984,15230,12923,2476,1695,2413,55,379,0,122018,1
82902,28,"Tennessee","TELLICO",46390.5,0,5,0,1738,11,0,0,66,63617,8337,5135,275,267,20,0,14,0,79485,1
82903,28,"Tennessee","NEWFOUND GAP",69080.1,0,0,0,3434,104,14,0,8,101148,13390,4142,903,48,85,0,112,0,123388,1
82904,28,"Tennessee","CADES COVE",80292.3,0,7,0,3155,72,19,0,14,108755,35715,7873,849,74,7496,443,682,0,165154,1
83001,36,"Texas","LAG ATASCOSA",41504.6,0,849,0,6971,5389,1081,190,914,579,212,32,10008,6527,3835,55079,2064,1232,94962,1
83002,36,"Texas","RACHAL",43221.5,0,0,0,6383,809,55,12,859,1126,0,0,21870,42425,24459,612,0,0,98610,1
83003,36,"Texas","AGUA NUEVA",42003.2,0,7,0,5207,516,70,0,81,32,48,0,37735,34054,8384,7465,611,262,94472,1
83004,36,"Texas","ZAPATA",42061.6,0,2380,0,3493,8064,2338,387,175,7,16,0,28408,49863,0,0,459,118,95708,1
83005,37,"Texas","KINGSVILLE",41209.4,0,20,0,7034,3985,2732,747,471,1261,0,0,17098,7929,25715,23966,85,204,91247,1
83006,37,"Texas","PETRONILA",40204.6,0,72,0,2578,1700,194,0,232,95,0,0,1830,515,2119,80633,1569,50,91587,1
83007,36,"Texas","RANDADO",38735.5,0,0,0,6944,2861,803,102,253,0,156,15,25956,42853,8680,0,22,0,88645,1
83008,36,"Texas","MIRANDO CITY",39367.4,0,0,0,6206,414,77,0,294,0,277,0,29291,52638,4125,0,0,0,93322,1
83009,36,"Texas","ENCINAL",39138.5,0,28,0,6475,633,57,0,119,12,385,168,46676,29016,4146,0,298,79,88092,1
83010,36,"Texas","SAN YGNACIO",39568.8,236,108,0,4082,2846,483,5,344,24,8,5,45534,21867,12953,313,901,249,89958,1
83011,37,"Texas","HINKLES FER",40302.3,0,1266,0,4037,610,16,0,122,3106,6506,169,8185,898,35043,4907,21343,4805,91013,1
83012,37,"Texas","VANDERBILT",36460.1,0,591,0,4696,747,138,33,91,1073,538,29,5934,804,28609,37974,3105,742,85104,1
83013,37,"Texas","INDIANOLA",40239,0,4796,0,3251,905,268,5,435,161,0,0,3419,3503,15803,47203,871,9648,90268,1
83014,21,"Texas","SCHROEDER",40493.5,0,5,0,4766,68,8,10,20,18476,3889,331,16432,2111,41616,778,1524,58,90092,1
83015,21,"Texas","HOBSON",38555.6,0,281,0,3224,2268,104,0,312,436,477,0,34089,2548,31040,7141,2055,131,84106,1
