"RT..NO.","BCR","State","RT..NAME","Patch.Density","Largest.Patch.Index","Aggregation.Index","km"
92022,10,"Wyoming","CUMBERLAND",4.69,40.58,91.78,2
92023,10,"Wyoming","MCKINNON",2.19,81.42,96.57,2
92024,10,"Wyoming","PATRICK DRAW",1.91,74.72,96.55,2
92025,16,"Wyoming","SAVERY",10.94,10.14,83.17,2
92026,10,"Wyoming","RIVERSIDE",7.81,12.34,86.15,2
92027,16,"Wyoming","BUFORD",10.36,28.36,80.59,2
92028,18,"Wyoming","YODER",5.14,22.15,87.81,2
92029,10,"Wyoming","CANYON",8.97,8.74,83.97,2
92030,10,"Wyoming","MAMMOTH",9.95,20.15,81.04,2
92031,10,"Wyoming","WEST THUMB",4.95,47.94,90.48,2
92032,10,"Wyoming","HUNTER PEAK",12.84,13.42,78.97,2
92033,10,"Wyoming","CLARK",7.57,27.71,77.1,2
92035,10,"Wyoming","FRANNIE",9.13,50.04,76.07,2
92036,10,"Wyoming","MOOSE",10.98,25.87,81.44,2
92037,10,"Wyoming","LOVELL",11.2,17.98,73.7,2
92038,10,"Wyoming","MEETEETSE",11.6,46.34,74.68,2
92039,10,"Wyoming","TENSLEEP",10,27.27,75.46,2
92040,17,"Wyoming","DAYTON",12.51,5.28,77.19,2
92041,10,"Wyoming","BALD MTN",9.46,18.55,84.53,2
92042,10,"Wyoming","CRAZY WOMAN",8.37,20.45,87.81,2
92043,17,"Wyoming","SCHOONOVER",7.83,70.34,80.08,2
92044,17,"Wyoming","ARVADA",7.79,74.63,82.86,2
92045,17,"Wyoming","RECLUSE",7.94,77.09,85.36,2
92046,17,"Wyoming","SODA WELL",7.78,16.44,76.66,2
92047,17,"Wyoming","PINEY",8.91,31.82,83.49,2
92048,17,"Wyoming","SEELY",8.58,16.67,79.51,2
92049,17,"Wyoming","UPTON",6.72,58.8,81.71,2
92050,17,"Wyoming","MOSKEE",5.83,73.5,89.39,2
92051,10,"Wyoming","ALPINE",10.95,60.38,82.73,2
92052,10,"Wyoming","WILSON",13.56,11.71,78.17,2
92053,10,"Wyoming","HORSE CREEK",9.73,25.62,81.56,2
92055,10,"Wyoming","CROWHEART",7.83,33.47,79.07,2
92056,10,"Wyoming","ETHETE",9.27,14.17,80.89,2
92057,10,"Wyoming","ANCHOR",9.35,50.49,75.07,2
92058,10,"Wyoming","GEBO",8.36,25.33,71.81,2
92059,10,"Wyoming","ARMINTO",5.77,66.2,84.49,2
92060,10,"Wyoming","LYSITE",11.65,28.19,70.21,2
92061,10,"Wyoming","WORLAND",8.51,40.67,71.86,2
92062,17,"Wyoming","TEAPOT DOME",7.99,56.96,83.72,2
92063,17,"Wyoming","MAYOWORTH",10.71,10.06,79.31,2
92064,17,"Wyoming","SUSSEX",9.73,42.48,82.87,2
92065,17,"Wyoming","HARLAND FLAT",6.31,40.26,84.88,2
92066,17,"Wyoming","PINE TREE",6.03,37.67,86.23,2
92067,17,"Wyoming","HIGHLIGHT",5.87,43.08,85.59,2
92068,17,"Wyoming","RIVERVIEW",8.58,29.99,83.05,2
92069,17,"Wyoming","NEWCASTLE",8.46,36.6,77.43,2
92070,17,"Wyoming","RAVEN",7.22,24.43,79.52,2
92071,10,"Wyoming","SODA LAKE",11.62,24.57,81.17,2
92072,10,"Wyoming","BUCKSKIN MTN",10.57,25.17,81.65,2
92073,10,"Wyoming","DANIEL",3.66,47.68,93.32,2
92074,10,"Wyoming","BOULDER",7.55,28.01,88.29,2
92075,10,"Wyoming","BIG SANDY",3.08,74.48,94.76,2
92076,10,"Wyoming","FARSON",6.6,67.2,84.7,2
92077,10,"Wyoming","FIDDLER LK",10.08,44.94,83.73,2
92078,10,"Wyoming","SAND DRAW",6.94,44.79,82.72,2
92079,10,"Wyoming","SWEETWATER",3.5,72.13,94.18,2
92080,10,"Wyoming","GAS HILLS",5.32,82.14,85.66,2
92081,10,"Wyoming","BAIROIL",1.72,94.89,96.48,2
92082,10,"Wyoming","LAMONT",4.87,77.17,90.91,2
92083,10,"Wyoming","PATHFINDER",6.74,53.82,79.24,2
92084,10,"Wyoming","LEO",5.7,85.07,90.92,2
92085,10,"Wyoming","SHIRLEY",5.79,46.53,82.55,2
92086,16,"Wyoming","WARBONNET",10.58,34.73,82.03,2
92087,16,"Wyoming","FLETCHER PK",9.24,30.64,82.31,2
92088,17,"Wyoming","SHAWNEE",7.52,22.07,81.07,2
92089,17,"Wyoming","MEADOWDALE",8.98,44.28,81.27,2
92090,17,"Wyoming","LUSK",3.63,76.75,93.17,2
92091,18,"Wyoming","LINGLE",5.69,35.64,87.36,2
92092,10,"Wyoming","DIAMONDVILLE",3.99,42.36,93.56,2
92093,10,"Wyoming","MTN VIEW",4.66,28.11,91.96,2
92095,10,"Wyoming","GREEN RIVER",6,58.39,90.66,2
92096,10,"Wyoming","RELIANCE",2.62,70.14,95.86,2
92097,10,"Wyoming","ROCK SPRINGS",6.93,76.02,89.22,2
92098,10,"Wyoming","BLACK ROCK",2.31,96.49,97.11,2
92101,10,"Wyoming","WAMSUTTER",1.52,91.07,96.77,2
92102,10,"Wyoming","RAWLINS",6.41,43.09,80.05,2
92103,10,"Wyoming","BAGGS",1.33,94.46,98.3,2
92104,10,"Wyoming","WALCOTT",6.59,51.94,88.66,2
92105,16,"Wyoming","FOX PARK",6.4,82.28,91.9,2
92106,16,"Wyoming","RYAN PARK",10.84,34.8,87.36,2
92107,16,"Wyoming","SYBILLE CYN",9.11,31.53,72.58,2
92108,10,"Wyoming","ROCK RIVER",6.65,37.25,86.27,2
92109,10,"Wyoming","HARMONY",5.62,10.82,87.71,2
92110,18,"Wyoming","CHEYENNE",1.75,51.3,94.35,2
92111,18,"Wyoming","CHUGWATER",5.12,24.68,87.65,2
92112,18,"Wyoming","PINE BLUFF",3.97,25.94,90.04,2
92120,17,"Wyoming","WELCH",8.88,20.48,82.81,2
92123,10,"Wyoming","FLAMIN GORGE",2.4,76.51,96.48,2
92147,17,"Wyoming","ROZET",9.73,38.63,77.53,2
92148,17,"Wyoming","SEELY 2",8.8,17.81,79.54,2
92150,17,"Wyoming","GVNT VALLEY",8.7,27.93,83.29,2
92167,17,"Wyoming","THUNDER BASIN",9.21,39.62,80.19,2
92173,10,"Wyoming","RYEGRASS",3.53,50.72,93.59,2
92192,10,"Wyoming","CARTER",4.22,67.8,94.42,2
92195,10,"Wyoming","SEEDSKADEE",5.01,23.2,91.4,2
92204,10,"Wyoming","BASIN 2",13.03,13.19,70.89,2
92206,17,"Wyoming","CABALLA CRK",5.23,67.3,92.04,2
92208,10,"Wyoming","MORAN",7.38,14.1,85.27,2
92212,17,"Wyoming","BUCKNUM",7.19,26.43,82.82,2
92214,17,"Wyoming","HAMPSHIRE",7.52,67.71,82.57,2
92250,17,"Wyoming","MOSKEE 2",5.48,72.92,89.78,2
92900,10,"Wyoming","HAYDEN VAL",7.02,10.82,88.43,2
92901,10,"Wyoming","YELLOWSTONE",7.14,10.77,88.43,2
92902,10,"Wyoming","PRIOR FLATS",7.19,36,83.86,2
2001,27,"Alabama","ST FLORIAN",17.01,6.1,77.59,5
2002,24,"Alabama","HILLSBORO",20.54,5.13,74.47,5
2004,28,"Alabama","TRADE",21.33,2.95,73.19,5
2005,28,"Alabama","SUMMITT",20.92,3.21,74.82,5
2006,24,"Alabama","VALHRMSA SPG",21.07,3.63,75.43,5
2007,24,"Alabama","SWAIM",10.12,15.82,86.35,5
2008,28,"Alabama","PINE GROVE",21.12,6.03,75.79,5
2009,28,"Alabama","DAWSON",19.27,8.51,75.97,5
2010,29,"Alabama","MILLERVILLE",14.42,16.29,78.66,5
2011,28,"Alabama","DEARMANVILLE",18.62,22.36,77.06,5
2012,28,"Alabama","SUNNY EVE",12.15,36.11,79.44,5
2013,28,"Alabama","GREENSPORT",21.93,5.78,74.66,5
2014,28,"Alabama","SMYER LAKE",21.56,13.02,74.23,5
2015,28,"Alabama","MT OLIVE",23.7,3.07,72.04,5
2016,27,"Alabama","HOWARD",25.43,1.38,70.69,5
2017,28,"Alabama","MAYTOWN",24.84,5.61,70.5,5
2019,27,"Alabama","LIBERTY",20.2,3.27,74.44,5
2020,27,"Alabama","RIDERWOOD",20.25,1.46,73.12,5
2021,27,"Alabama","LINDEN",20.8,3.56,73.52,5
2022,27,"Alabama","HARRELL",20.66,2.32,74.92,5
2023,27,"Alabama","GREENSBORO",20,2.33,73.44,5
2024,27,"Alabama","SPRAGUE",23.58,1.64,71.72,5
2025,27,"Alabama","BILLINGSLEY",22.53,10.24,72.64,5
2026,27,"Alabama","WALLSBORO",25.07,5.81,71.14,5
2027,27,"Alabama","WARRIOR STD",26.07,2.73,68.71,5
2028,29,"Alabama","LANETT",17.27,3.43,76.66,5
2029,27,"Alabama","COTTONTON",24.98,1.91,70.81,5
2030,27,"Alabama","NEWTON",23.5,2.48,72.56,5
2031,27,"Alabama","GRANGEBURG",23.78,0.98,73.58,5
2032,27,"Alabama","BRUNDIDGE",27.52,2.81,68.12,5
2033,27,"Alabama","BRANTLEY",24.76,4.55,70.97,5
2034,27,"Alabama","SOUTH",20.54,3.13,74.21,5
2035,27,"Alabama","MCLELLAN",14.96,25.59,79.65,5
2036,27,"Alabama","BEATRICE",20.42,4.98,74.38,5
2037,27,"Alabama","LATHAM",16.64,15.74,77.14,5
2038,27,"Alabama","CASTLEBERRY",19.86,13.12,74.24,5
2039,27,"Alabama","MILLRY",22.07,1.89,71.95,5
2040,27,"Alabama","DAUPHIN IS",9.89,43.8,86.74,5
2041,27,"Alabama","ALABAMA PT",6.56,41.14,91.19,5
2042,27,"Alabama","FOLEY",14.17,6.86,79.9,5
2043,27,"Alabama","BLOCTON",23.04,7.5,72.36,5
2044,28,"Alabama","BIRMINGHAM",20.61,11,71.67,5
2045,27,"Alabama","WHITEHOUSE",23.4,2.83,73.1,5
2046,28,"Alabama","GUNTERSVILLE",19.27,8.13,78.63,5
2047,27,"Alabama","JENA",19.4,7.51,75.25,5
2048,27,"Alabama","EPES",19.51,2.51,76.24,5
2049,27,"Alabama","WEDGEWORTH",20.48,6.11,74.28,5
2050,27,"Alabama","WHITEHALL",20.12,3.98,74.76,5
2051,28,"Alabama","LIBERTY CITY",17.31,8.76,76.72,5
2052,27,"Alabama","ESCATAWPA",19.16,3.44,73.58,5
2053,27,"Alabama","GROVE HILL",19.72,11.04,74.73,5
2054,27,"Alabama","FAIRVIEW",25.69,4.42,71.03,5
2055,27,"Alabama","ELAMVILLE",25.44,2.74,70.75,5
2056,28,"Alabama","CHILDERSBURG",26.21,3.44,71.89,5
2057,28,"Alabama","YOUNGTOWN",20.6,19.86,71,5
2058,28,"Alabama","MENTONE",19.87,7.86,74.83,5
2059,27,"Alabama","CARROLLTON",18.32,12.48,75.25,5
2060,27,"Alabama","HOLT",25.45,2.33,69.85,5
2061,28,"Alabama","ODENVILLE",22.03,6.87,74.38,5
2062,28,"Alabama","BORDEN SPRNG",15.37,24.95,76.93,5
2063,27,"Alabama","ROCK CHAPEL",20,6.61,76.55,5
2064,28,"Alabama","NIXBURG",12.5,10.87,79.11,5
2065,27,"Alabama","CALEBEE",23.82,3.83,71.12,5
2066,27,"Alabama","APPLETON",18.41,7.29,75.6,5
2067,27,"Alabama","MT. GILEAD",25.94,1.31,70.02,5
2068,27,"Alabama","MADRID",24.7,0.99,72.65,5
2069,27,"Alabama","GEORGETOWN",19.13,8.13,75.4,5
2070,27,"Alabama","BON SECOUR",14.33,7.2,81.14,5
2071,24,"Alabama","WHEELER DAM",16.88,9.3,77.91,5
2072,24,"Alabama","ELKMONT",18.03,4.17,75.06,5
2073,28,"Alabama","WOODVILLE",7.31,71.24,89.49,5
2102,24,"Alabama","COURTLAND",20.24,4.88,74.35,5
2105,28,"Alabama","BROOKSVILLE",20.2,8.5,75.55,5
2109,28,"Alabama","LAKEVIEW",19.35,8.28,75.89,5
2111,28,"Alabama","CHOCCOLOCCO",16.68,17.26,77.5,5
2137,27,"Alabama","LATHAM II",14.63,23.28,78.75,5
2140,27,"Alabama","ALABAMA PORT",9.81,35.06,85.94,5
2141,27,"Alabama","ALABAMA PT 2",12.32,27.68,84.06,5
2142,27,"Alabama","ELBERTA",13.22,7.74,79.97,5
2156,28,"Alabama","KYMULGA",26.17,3.47,71.92,5
2162,28,"Alabama","BORDEN SPRINGS II",13.55,37.83,76.87,5
2164,28,"Alabama","NIXBURG 2",12.48,10.73,79.08,5
2201,27,"Alabama","VINA",17.64,2.61,76,5
2203,24,"Alabama","CARTER GROVE",20.62,2.34,74.99,5
2204,28,"Alabama","STEVENSON",19.86,8.16,77.33,5
2205,27,"Alabama","VERNON",20.95,6.36,74.25,5
2206,28,"Alabama","JASPER",28.2,1.17,68.5,5
2207,28,"Alabama","ONEONTA",23.79,4.66,72.86,5
2208,28,"Alabama","TALLADEGA",22.43,13.43,73.75,5
2209,29,"Alabama","WEDOWEE",17.42,5.04,76.38,5
2210,27,"Alabama","GASTONBURG",21.69,1.92,74.35,5
2211,27,"Alabama","AUTAUGAVILLE",20.91,1.78,73.35,5
2212,27,"Alabama","SEALE",24.44,4.94,71.49,5
2213,27,"Alabama","CITRONELLE",21.47,3.4,70.96,5
2214,27,"Alabama","CLAIBORNE",19.82,7.2,74.97,5
2215,27,"Alabama","HELICON",21.82,1.69,73.19,5
2216,27,"Alabama","EUFAULA",24.53,2.53,69.91,5
2217,27,"Alabama","ST. ELMO",17.43,1.88,76.5,5
2218,27,"Alabama","BAY MINETTE",13.29,18.15,79.09,5
2306,28,"Alabama","DRUMMOND",28.13,1.17,68.53,5
2750,24,"Alabama","TRIANA",20.3,8.84,76.54,5
2751,28,"Alabama","RIVERSIDE",23.63,3.59,73.35,5
2752,27,"Alabama","SPROTT-CAHABA RIV",20.53,3.21,74.17,5
2753,27,"Alabama","GAINESTOWN FERRY",16.85,5.64,77.86,5
2754,27,"Alabama","CHACALOOCHEE BAY",4.86,16.11,89.25,5
6001,16,"Arizona","MT TRUMBULL",3.83,65.99,89.11,5
6002,16,"Arizona","HOUSE ROCK",6.93,44.43,85.54,5
6003,16,"Arizona","THE GAP",6.59,38.38,86.18,5
6004,16,"Arizona","BLACK MESA",13.33,43.44,73.59,5
6005,16,"Arizona","ROUND ROCK",6.85,23.04,83.77,5
6006,33,"Arizona","SQUAW PEAK",1.18,95.49,96.68,5
6007,16,"Arizona","YAMPAI",2.15,68.64,94.27,5
6008,16,"Arizona","ROSE WELLS",1.92,88.52,95.53,5
6009,34,"Arizona","FLAGSTAFF",5.24,61.65,89.2,5
6010,16,"Arizona","ORAIBI",4.91,37.64,84.85,5
6011,16,"Arizona","SAWMILL",4.59,74.09,91.62,5
6012,33,"Arizona","OATMAN",2.17,86.33,96.47,5
6013,33,"Arizona","WIKIEUP",3.46,89.01,91.27,5
6014,34,"Arizona","PRESCOTT",7.79,52.75,86.82,5
6015,34,"Arizona","MORMON LAKE",3.06,56.05,92.51,5
6016,34,"Arizona","ZENIFF",9.55,51.33,80.65,5
6017,16,"Arizona","HUNT",2.53,70.75,96.09,5
6018,33,"Arizona","QUARTZSITE",0.99,91.4,98.22,5
6019,33,"Arizona","VICKSBURG",2.95,54.32,92.7,5
6020,33,"Arizona","NEW RIVER",4.13,34.51,90.98,5
6021,33,"Arizona","FLORENCE",1.81,76.67,95.28,5
6022,34,"Arizona","AZTEC PEAK",2.04,51.75,95.9,5
6023,34,"Arizona","BLUE",2.5,92.39,96.08,5
6024,33,"Arizona","LAGUNA",4.9,27.6,90.88,5
6025,33,"Arizona","DATELAND",4.28,55.9,91.08,5
6026,33,"Arizona","AJO",1.03,92.64,97.51,5
6027,33,"Arizona","COOLIDGE",3.82,18.35,89.8,5
6028,34,"Arizona","POMERENE",0.84,92.25,97.14,5
6029,34,"Arizona","SAN SIMON",0.37,97.26,99.08,5
6030,33,"Arizona","LUKEVILLE",0.27,70.85,99.25,5
6031,34,"Arizona","PENA BLANCA",2.36,87.36,94.76,5
6032,34,"Arizona","PATAGONIA",4.03,76.48,90.62,5
6033,34,"Arizona","SUNIZONA",3.5,60.66,91.56,5
6051,16,"Arizona","TOROWEAP",2.95,74.61,92.94,5
6052,16,"Arizona","DRY PARK",3.72,86.32,93.64,5
6053,16,"Arizona","PAGE",6.75,25.24,85.31,5
6054,16,"Arizona","COW SPRINGS",10.04,33.88,78.16,5
6055,16,"Arizona","MANY FARMS",6.5,37.74,81.41,5
6056,33,"Arizona","RIVIERA",4.03,82.02,92.67,5
6057,33,"Arizona","ANTARES",4.32,78.61,88.42,5
6058,34,"Arizona","WILLIAMS",3.89,66.03,92.78,5
6059,34,"Arizona","MAINE",3.72,45.08,91.7,5
6060,16,"Arizona","CASTLE BUTTE",5.74,50.12,89.25,5
6061,16,"Arizona","GREASEWOOD",8.74,35.56,79.08,5
6063,33,"Arizona","ALAMO RES.",0.81,96.29,98.73,5
6064,34,"Arizona","SKULL VALLEY",3.5,80.39,91.65,5
6065,34,"Arizona","TONTO VILL.",3.76,77.92,91.6,5
6066,34,"Arizona","FOREST LAKES",5.48,60.16,87.04,5
6067,34,"Arizona","PINETOP",2.93,75.52,93.37,5
6068,33,"Arizona","CIBOLA LAKE",4.37,68.78,92.2,5
6069,33,"Arizona","GILA BEND",2.8,92.54,93.68,5
6070,33,"Arizona","PALO VERDE",2.67,53.23,92.72,5
6071,34,"Arizona","BARTLETT RES",1.61,94.07,96.83,5
6072,34,"Arizona","CUTTER",0.63,95.38,98.64,5
6073,34,"Arizona","ALPINE",2.43,75.3,95.13,5
6074,33,"Arizona","ARABY",6.18,11.37,88.01,5
6076,33,"Arizona","PISINIMO",0.85,98.69,98.85,5
6077,33,"Arizona","RED ROCK",1.37,81.16,95.65,5
6078,34,"Arizona","REDINGTON",0.46,97.09,98.85,5
6079,34,"Arizona","MT. GRAHAM",4.35,71.22,90.77,5
6080,33,"Arizona","CABEZA PRIET",0.04,99.95,99.88,5
6081,34,"Arizona","AMADO",0.67,96.04,97.86,5
6082,34,"Arizona","SAHUARITA",2.83,81.46,94.22,5
6083,34,"Arizona","MCNEAL",2.02,49.75,95.39,5
6101,16,"Arizona","NAVAJO TRAIL",3.9,55.94,90.52,5
6103,16,"Arizona","KAIBITO",7.53,60.97,84.11,5
6105,16,"Arizona","TSAILE",7.13,68.15,88.44,5
6106,33,"Arizona","WILLOW BEACH",2.11,37.36,95.5,5
6107,16,"Arizona","PEACH SPRING",2.93,89.71,94.58,5
6108,16,"Arizona","SELIGMAN",2.92,68.19,92.84,5
6115,34,"Arizona","HAPPY JACK",2.99,92.07,95.3,5
6116,34,"Arizona","CLAY SPRING",7.96,31.1,81.65,5
6119,33,"Arizona","HOPE",2.18,48.8,94.64,5
6121,33,"Arizona","CASA GRANDE",1.67,82.2,95.26,5
6122,34,"Arizona","CARR MTN",1.14,68.67,97.66,5
6123,34,"Arizona","SPRUCEDALE",2.48,92.54,96.12,5
6126,33,"Arizona","AJO 2",0.97,62.91,97.84,5
6127,33,"Arizona","CATUS FOREST",3.21,18.71,90.89,5
6130,33,"Arizona","ORGAN PIPE",0.27,73.66,99.25,5
6133,34,"Arizona","PORTAL",4.74,36.08,89.82,5
6161,16,"Arizona","KLAGETOH",9.02,35.43,80.38,5
6176,33,"Arizona","BATES WELL",0.31,90.63,99.16,5
6206,33,"Arizona","WILLOW BEACH 2",1.99,36.36,95.79,5
6900,34,"Arizona","DRAGOON",3.67,80.52,92.36,5
6901,34,"Arizona","RUCKER",4.78,40.5,89.23,5
7001,25,"Arkansas","OLD MILO",16.6,3.64,77.26,5
7002,26,"Arkansas","EUDORA",4.17,19.54,89.43,5
7003,25,"Arkansas","RAMSEY",10.49,11.95,83.66,5
7004,25,"Arkansas","LOCUST BAYOU",12.57,20.27,82.25,5
7005,25,"Arkansas","STAMPS",14.64,18.4,78.89,5
7006,25,"Arkansas","HOPE",15.77,2.67,76.31,5
7007,25,"Arkansas","ASHDOWN",11.65,5.91,81.86,5
7008,26,"Arkansas","HUGHES",2.57,33.15,91.24,5
7009,26,"Arkansas","WEST TYLER",4.72,14.79,89.5,5
7010,26,"Arkansas","SOUTH BEND",2.2,18.15,92.36,5
7011,25,"Arkansas","CROWS",20.94,2.96,72.79,5
7012,25,"Arkansas","POYEN",11.52,7.01,83.57,5
7013,25,"Arkansas","HOLLYWOOD",16.7,16.06,76.32,5
7014,25,"Arkansas","BLAKELY",21.73,4.65,69.62,5
7015,25,"Arkansas","WALDRON",17.01,14.86,74.03,5
7016,26,"Arkansas","HARRISBURG",3.88,31.55,89.9,5
7017,26,"Arkansas","WHITTON",1.92,29.23,93.33,5
7018,26,"Arkansas","AUGUSTA",2.92,36.85,92.01,5
7019,26,"Arkansas","SAFFELL",11.34,7.33,81.4,5
7020,24,"Arkansas","RUPERT",10.52,43.23,84.22,5
7021,25,"Arkansas","STARK",17.26,11.73,76.53,5
7022,25,"Arkansas","COAL HILL",18.71,3.9,77.07,5
7023,24,"Arkansas","LURTON",6.98,35.84,88.57,5
7024,25,"Arkansas","MASSARD",16.12,7.94,76.96,5
7025,26,"Arkansas","MAYNARD",7.44,22.14,87.07,5
7026,24,"Arkansas","ZION",15.31,11.61,77.13,5
7027,24,"Arkansas","FULTON",14.24,10.95,78.57,5
7028,24,"Arkansas","COMPTON",3.6,80.72,92.19,5
7029,24,"Arkansas","AVOCA",13.14,7.69,79.7,5
7030,24,"Arkansas","CENTERTON",7.4,11.75,85.74,5
7031,24,"Arkansas","FARWELL",8.03,34.08,84.57,5
7032,24,"Arkansas","YELLVILLE",9.47,18.54,82.92,5
7033,24,"Arkansas","RAVENDEN SPRINGS",11.44,38.09,82.79,5
7034,26,"Arkansas","LAFE",2.98,36.05,92.82,5
7035,26,"Arkansas","DELL",1.34,14.38,95.27,5
7036,26,"Arkansas","HICKORY RIDGE",2.59,34.81,93.02,5
7037,24,"Arkansas","RUSSELL",15.72,5.95,77.45,5
7038,24,"Arkansas","MARSHALL",10.51,30.87,84.25,5
7039,25,"Arkansas","HAVANA",17.9,5.87,75.64,5
7040,25,"Arkansas","HATFIELD",18.46,3.66,73.84,5
7041,25,"Arkansas","SIMS",17.84,26.7,71.55,5
7042,26,"Arkansas","ENGLAND",7.83,18.07,86.74,5
7043,26,"Arkansas","GILLETT",3.36,15.76,90.94,5
7045,25,"Arkansas","LOCKESBURG",12.67,8.74,80.81,5
7046,25,"Arkansas","SPRINGHILL",17.31,4.06,76.82,5
7047,25,"Arkansas","STEPHENS",19.42,11.38,75.51,5
7048,26,"Arkansas","KELSO",1.79,24.63,93.58,5
7049,24,"Arkansas","RUDY",9.69,43.31,83.7,5
7102,26,"Arkansas","EUDORA 2",3.97,19.22,89.68,5
7103,25,"Arkansas","PRINCETON",9.91,11.97,83.91,5
7109,26,"Arkansas","ULM",4.64,14.82,89.57,5
7111,25,"Arkansas","NANCE",21.9,3.1,70.94,5
7112,25,"Arkansas","POYEN 2",11.29,6.88,83.68,5
7114,25,"Arkansas","DRY FORK",17.11,8.16,72.95,5
7117,26,"Arkansas","WILSON",1.8,27.65,93.43,5
7118,26,"Arkansas","AUGUSTA 2",2.9,36.22,92.03,5
7900,24,"Arkansas","OZARK NF",13.13,40.26,81,5
7901,25,"Arkansas","MAGAZINE MTN",16.57,8.79,76.3,5
7902,24,"Arkansas","BOSTON MTN.",9.23,49.4,85.34,5
7903,25,"Arkansas","FOUR LAKES",10.7,25.67,83.65,5
14001,5,"California","HORSE CREEK",11.38,27.31,82.84,5
14002,5,"California","CARRVILLE",8.17,37.72,87.31,5
14003,9,"California","NUBIEBER",7.15,8.7,83.97,5
14004,5,"California","CRESCENT CTY",12.74,11.71,82.55,5
14005,5,"California","HONEYDEW",12.93,20.89,83.51,5
14006,5,"California","HOLMES",12.73,25.34,83.35,5
14007,32,"California","RED BLUFF",11.67,19.92,79.81,5
14008,15,"California","LASSEN PARK",3.83,30.96,91.89,5
14009,15,"California","EAGLE LAKE",3.79,29.19,90.82,5
14010,32,"California","CALPELLA",15.52,34.88,79.19,5
14011,5,"California","HULLVILLE",13.74,17.37,79.11,5
14012,32,"California","PENNINGTON",5.27,15.19,89.86,5
14013,15,"California","WESTVILLE",6.68,49.38,88.28,5
14014,5,"California","FISH ROCK",6.77,26.96,90.17,5
14015,32,"California","RUMSEY",9.08,38.25,84.87,5
14016,32,"California","RIOVISTA",5.14,22.86,87.97,5
14017,15,"California","COTTAGE SPGS",10.08,24.62,82.89,5
14018,15,"California","DARDANELLE",7.23,20.23,85.37,5
14019,32,"California","COLMA",14.71,5.92,77.28,5
14020,32,"California","COLLEGEVILLE",8.5,12.81,86.56,5
14021,32,"California","HUGHSON",6,25.49,88.24,5
14022,15,"California","BASS LAKE",11.71,28.4,80.59,5
14023,9,"California","BIG PINE",2.8,36.34,93.97,5
14024,32,"California","CARUTHERS",3.28,27.83,91.9,5
14025,32,"California","TRES PINOS",10.01,37.81,83.79,5
14026,32,"California","OILFIELDS",3.49,13.81,90.98,5
14027,32,"California","GRAVESBORO",11.93,8.73,80.06,5
14028,32,"California","YOKOHL VAL",10.2,39.76,83.18,5
14029,33,"California","UBEHEBE",0.76,97.49,98.78,5
14030,33,"California","HAIWEE RES",2.16,47.81,94.67,5
14031,33,"California","WILDROSE",0.73,93.42,98.37,5
14032,32,"California","PARKFIELD",9.6,27.19,81.61,5
14033,32,"California","BAKERSFIELD",5.58,40.6,86.88,5
14034,33,"California","ONYX",8.58,40.26,80.95,5
14035,33,"California","CALIF CITY",3.41,21.82,92,5
14036,33,"California","GOLDSTONE",0.48,98.93,99.22,5
14037,33,"California","VALLEY WELLS",0.28,82.97,99.43,5
14038,32,"California","SANTA YNEZ",15.65,7.4,75.9,5
14039,32,"California","FOSTER PARK",15.54,10.15,74.52,5
14040,33,"California","WILLOW SPGS",4.99,53.98,87.83,5
14041,33,"California","BARSTOW",3.65,59.89,93.7,5
14042,32,"California","MT PINOS",8.75,38.6,83.17,5
14043,33,"California","CADIZ",2.66,29.53,92,5
14044,33,"California","PARKER DAM",3.79,38.49,93.34,5
14045,32,"California","HARBOR LAKE",9.59,39.37,84.62,5
14046,32,"California","MORENO",10.68,10.61,78.47,5
14047,32,"California","OAK GROVE",5.19,31.3,86.06,5
14048,33,"California","GLAMIS",2.83,36.56,91.8,5
14049,33,"California","PALO VERDE",7.34,10.79,83.33,5
14050,32,"California","SAN YSIDRO",12.81,26.51,81.8,5
14051,33,"California","ANZA BORREGO",6.31,19.93,86.99,5
14052,32,"California","HOLLISTER",7.67,27.45,86.24,5
14053,32,"California","COALINGA",9.33,61.78,82.61,5
14054,32,"California","ORANGE COVE",10.45,21.71,83.43,5
14055,32,"California","LAKE SUCCESS",9.9,18.62,84.11,5
14056,33,"California","DARWIN",0.64,75.96,98.52,5
14057,32,"California","MORRO BAY",9.95,15.31,83.26,5
14058,33,"California","EUREKA VAL",0.79,97.05,98.07,5
14059,33,"California","INYOKERN",1.06,81.06,97.68,5
14060,33,"California","LENWOOD",1.71,49.98,95.56,5
14061,33,"California","LANE MTN",1.82,74.74,94.38,5
14062,33,"California","IVANPAH",0.93,58.47,97.56,5
14063,33,"California","TRONA",2.69,46.1,93.35,5
14064,33,"California","TECOPA",1.33,61.97,96.9,5
14065,33,"California","SODA LAKE",2.74,37.57,92.99,5
14066,32,"California","BIG BEAR",9.73,17.55,81.81,5
14067,33,"California","ESSEX",0.64,68.62,98.29,5
14068,33,"California","FLYNN",1.57,57.68,96.1,5
14069,33,"California","IRON MTNS",3.53,22.46,89.66,5
14070,33,"California","COACHELLA CN",3.6,69.06,92.04,5
14071,32,"California","POINT REYES",16.75,7.84,78.56,5
14072,32,"California","AUBURN",17.68,6.42,75.12,5
14073,9,"California","INGALLS",9.71,18.89,79.17,5
14074,5,"California","MARTINS FY",8.82,27.17,86.26,5
